Question,Sub Question,Compliance Item
"If requested by the Borrowers, did the Mortgagee provide mortgage information and arranged an individual consultation offered?
",,"The Mortgagee must provide mortgage information and arrange for individual consultation with the Borrower and/or the Authorized Third Party, upon request by the Borrowers."
"If there was any third party access to the mortgage information, was the release compliant with all the applicable  laws, rules and requirements?

",,"The Mortgagee must comply with all laws, rules, and requirements applicable to third party access to mortgage information."
"When communicating with an Authorized Third Party, did the Mortgagee include documentation of the authorization in the servicing binder: a copy of a signed authorization from the Borrower; a copy of a Power of Attorney (POA), order of guardianship, or other documentation authorizing that third party to act on behalf of the Borrower; or  other documentation showing legal authorization to access the Borrower’s records?",,"If communicating with an Authorized Third Party, the Mortgagee must include  documentation of the authorization in the servicing binder: a copy of a signed authorization from the Borrower; a copy of a Power of Attorney (POA), order of guardianship, or other documentation authorizing that third party to act on behalf of the Borrower; or   other documentation showing legal authorization to access the Borrower’s records."
Were payments in the Trust Clearing Account or special custodial account used to hold all payments on the insured Mortgage?,,The Mortgagee must either use a Trust Clearing Account or special custodial account to hold all payments on the insured Mortgage.
"If a Trust Clearing Account was not used, was the payment immediately transferred into a special custodial account?

",,"The Mortgagee’s Trust Clearing Account may be used for collections received on all types of Mortgages. If a Trust Clearing Account is not used, the Mortgagee must immediately transfer payments into a special custodial account."
"If using a special custodial account, was an amount withdrawn equal to the principal, interest, and service charges within 30 Days after deposit and posted to the Borrower’s records accordingly?

",,"Mortgagees using special custodial accounts must withdraw an amount equal to the principal, interest, and service charges within 30 Days after deposit and post to the Borrower’s records accordingly."
"Did the Mortgagee apply Borrower payments in the following order?
• to MIPs due, if any;
• to charges for Ground Rents, taxes, special assessments, including any assessments related to a Property Assessed Clean Energy (PACE) obligation, flood insurance premiums, if required, and fire and other hazard insurance premiums;
• to interest on the Mortgage;
• to amortization of the principal of the Mortgage; and
• to Late Charges, provided, however, that any amounts owed for Late Charges must be handled consistent with TILA regulations.",,"The Mortgagee must apply Borrower payments in the following order:
• to MIPs due, if any;
• to charges for Ground Rents, taxes, special assessments, including any assessments related to a Property Assessed Clean Energy (PACE) obligation, flood insurance premiums, if required, and fire and other hazard insurance premiums;
• to interest on the Mortgage;
• to amortization of the principal of the Mortgage; and
• to Late Charges, provided, however, that any amounts owed for Late Charges must be handled consistent with TILA regulations."
"Did the Mortgagee note in its servicing file any Partial Payments received and, if applicable, documentation on the date the payment was returned with a letter of explanation?",,"The Mortgagee must note in its servicing file any Partial Payments received and, if applicable, documentation on the date the payment was returned with a letter of explanation."
"Were the Partial Prepayments applied as either advance full monthly payments; or
additional payments toward reducing principal and future monthly payments?",,"The Mortgagee must apply Partial Prepayments as requested by the Borrower as either:
􀁸 advance full monthly payments; or
􀁸 additional payments toward reducing principal and future monthly payments."
"In the event that the Borrower did not specify how the Partial Prepayment should have been applied, did the Mortgagee communicate with the Borrower to determine the method of application or apply the payment in a manner previously communicated to the Borrower?",,"In the event that the Borrower does not specify how the Partial Prepayment should be applied, the Mortgagee should communicate with the Borrower to determine the method of application or apply the payment in a manner previously communicated to the Borrower."
"If the borrower elected to have Partial Prepayments equal to a full monthly payment applied as an advance full monthly payment, was the borrower allowed to skip an equal number of installments in the future without creating a mortgage default or incurring a Late charge?",,"If the Borrower elects to have Partial Prepayments equal to a full monthly payment applied as an advance full monthly payment, the Mortgagee must allow the Borrower to skip an equal number of installments in the future without creating a mortgage Default or incurring a Late Charge."
Did the Mortgagee accept a prepayment of a Mortgage in whole or in part on any Installment Due Date without penalty to the Borrower?,,The Mortgagee must accept a prepayment of a Mortgage in whole or in part on any Installment Due Date without penalty to the Borrower.
"Did the Mortgagee accept a prepayment on a Mortgage closed on or after January 21, 2015, at any time and in any amount?",,"The Mortgagee must accept a prepayment on a Mortgage closed on or after January 21, 2015, at any time and in any amount. The Mortgagee must calculate the interest as of the date the prepayment is received, not as of the next Installment Due Date."
,"Did the Mortgagee calculate the interest as of the date the prepayment was received, not as of the next Installment Due Date?","The Mortgagee must accept a prepayment on a Mortgage closed on or after January 21, 2015, at any time and in any amount. The Mortgagee must calculate the interest as of the date the prepayment is received, not as of the next Installment Due Date."
"If the Borrower prepaid the Mortgage in full on the first Day of any month as in the terms of the Mortgage, was the prepayment accepted on or after August 2, 1985, and closed before January 21, 2015?",,"Mortgages Closed Before January 21, 2015
(a) Mortgages Insured On or After August 2, 1985
The Mortgagee must accept a prepayment on a Mortgage insured on or after August 2, 1985 and closed before January 21, 2015, if the Borrower prepays the Mortgage in full on the first Day of any month in the term of the Mortgage."
"If prepayment was offered on a day other than the Installment Due Date, was the Payoff Disclosure provided to the borrower and Prepayment accepted in full?",,"For Prepayment in Full, this option may only be used if the Mortgagee has provided the Payoff Disclosure to the Borrower."
"If the Mortgage Closed Before January 21, 2015, and Insured on or after August 2, 1985 and if the prepayment was offered on a day other than the Installment Due Date, did the Mortgagee refuse to accept the prepayment until the first Day of the next month or accept the prepayment and require the payment of interest to the first Day of the next month?",,"If prepayment is offered on a day other than the Installment Due Date, the
Mortgagee may:

􀁸 refuse to accept the prepayment until the first Day of the next month; or

􀁸 accept the prepayment and require the payment of interest to the first Day of the next month."
"Did the Mortgagee accept prepayment on a Mortgage insured prior to August 2, 1985, if the Borrower submitted to the Mortgagee a Notice of Intent to Prepay at least 30 Days prior to the prepayment; and prepaid the Mortgage in full on the first Day of any month in the term of the Mortgage?",,"The Mortgagee must accept prepayment on a Mortgage insured prior to August 2, 1985, if the Borrower:
• submits to the Mortgagee a Notice of Intent to Prepay at least 30 Days prior to the prepayment; and
• prepays the Mortgage in full on the first Day of any month in the term of the Mortgage."
"If a prepayment is offered on a day other than the Installment Due Date, did the Mortgagee accept prepayment and require the payment of interest to the first Day of the month following the expiration of the 30-Day Advance Prepayment Notice Period. For Prepayment in Full, this option may only be used if the Mortgagee has provided the Payoff Disclosure to the Borrower.",,"If a prepayment is offered on a day other than the Installment Due Date, the Mortgagee may:
accept prepayment and require the payment of interest to the first Day of the month following the expiration of the 30-Day Advance Prepayment Notice Period. For Prepayment in Full, this option may only be used if the Mortgagee has provided the Payoff Disclosure to the Borrower."
"Did the Mortgagee  provided the Payoff Disclosure to the Borrower, If a prepayment was offered in full on a day other than the Installment Due Date, and the Mortgagee accepted prepayment and required the payment of interest to the first Day of the month following the expiration of the 30-Day Advance Prepayment Notice Period?",,"For Prepayment in Full, this option may only be used if the Mortgagee has provided the Payoff Disclosure to the Borrower."
"If the Mortgage Closed Before January 21, 2015 and Insured  prior to August 2, 1985, and the Borrower submitted a prepayment without previously sending a Notice of Intent to Prepay, did the mortgagee  provide a Payoff Disclosure, deferring the acceptance of repayment until the first Day of the month following the date prepayment was tendered?
",,"If the Borrower submits a prepayment without previously sending a Borrower’s Notice of Intent to Prepay, the Mortgagee may consider receipt of the prepayment as the Borrower’s Notice of Intent to Prepay. The Mortgagee may choose to: 􀁸 provide a Payoff Disclosure, enabling the Mortgagee to:  defer acceptance of prepayment until the first Day of the month following the date prepayment is tendered;"
"If the Mortgage Closed Before January 21, 2015, and Insured prior to August 2, 1985, and the Borrower submitted a prepayment without previously sending a Notice of Intent to Prepay, did the mortgagee accept the prepayment and require the payment of interest to the first Day of the month following the date prepayment was tendered?",,Accept the prepayment and require the payment of interest to the first Day of the month following the date prepayment is tendered;
"If the Mortgage Closed Before January 21, 2015, and Insured prior to August 2, 1985, and the Borrower submitted a prepayment without previously sending a Notice of Intent to Prepay, did the mortgagee accept the prepayment on the date tendered, which limited the collection of interest to that prepayment date?",,"accept the prepayment on the date tendered, which limits the Mortgagee’s collection of interest to that prepayment date."
"When the Installment due date fell on a non-business day, did the mortgagee consider a borrower’s Notice of Intent to Prepay or receipt of the prepayment amount for a Mortgage closed before January 21, 2015, as timely? ",,"When the Installment Due Date falls on a non-business day, the Mortgagee must consider a Borrower’s Notice of Intent to Prepay or the receipt of the prepayment amount for a Mortgage closed before January 21, 2015 timely if received on the next business day."
"When notified of the Borrower’s intent to prepay, did the Mortgagee send the Payoff Disclosure and copy of the payoff statement directly to the Borrower, even if the Mortgagee was dealing with an Authorized Third Party?",,"When notified of the Borrower’s intent to prepay, the Mortgagee must send the Payoff Disclosure and copy of the payoff statement directly to the Borrower, even if the Mortgagee is dealing with an Authorized Third Party."
Was any collected interest forfeited after the date of prepayment if any disclosure requirements were not met?,,The Mortgagee will forfeit any interest collected after the date of prepayment if these disclosure requirements are not met.
"If specifically provided for in the security instrument, did the Mortgagee charge the Borrower the amount of the trustee’s fee, plus any reasonable and customary fee for payment, or for the execution of a satisfaction, release or trustee's deed when the debt is paid in full?",,"If specifically provided for in the security instrument, the Mortgagee may charge the Borrower the amount of the trustee’s fee, plus any reasonable and customary fee for payment, or for the execution of a satisfaction, release or trustee's deed when the debt is paid in full."
Did the Mortgagee charge the Borrower a reasonable and customary fee for recording satisfactions in states where recordation was not the responsibility of the Mortgagee?,,The Mortgagee may charge the Borrower a reasonable and customary fee for recording satisfactions in states where recordation is not the responsibility of the Mortgagee.
Were the fees and charges collected from the borrower reasonable and customary for the local Jurisdiction?,,The Mortgagee may collect certain reasonable and customary fees and charges from the Borrower after the Mortgage is insured and as authorized by HUD below. All fees must be:   reasonable and customary for the local jurisdiction;  based on actual cost of the work performed or actual out-of-pocket expenses and not a percentage of either the face amount or the unpaid principal balance of the Mortgage; within the maximum amount allowed by HUD.
Were all fees collected from the borrower were based on actual cost of the work performed or actual out of pocket expenses and not a percentage of either the face amount or the unpaid principal balance of the Mortgagee?,,The Mortgagee may collect certain reasonable and customary fees and charges from the Borrower after the Mortgage is insured and as authorized by HUD below. All fees must be:   reasonable and customary for the local jurisdiction; based on actual cost of the work performed or actual out-of-pocket expenses and not a percentage of either the face amount or the unpaid principal balance of the Mortgage; within the maximum amount allowed by HUD.
Were the collected reasonable and customary fees and charges from the borrower within the maximum amount allowed by HUD?,,The Mortgagee may collect certain reasonable and customary fees and charges from the Borrower after the Mortgage is insured and as authorized by HUD below. All fees must be:   reasonable and customary for the local jurisdiction; based on actual cost of the work performed or actual out-of-pocket expenses and not a percentage of either the face amount or the unpaid principal balance of the Mortgage; within the maximum amount allowed by HUD.
"Did the Mortgagee not charge the Borrower for the costs of telephone calls, personal visits with the Borrower, certified mail, or other activities that were normally considered a part of a prudent Mortgagee’s servicing activity?",,"The Mortgagee must not charge the Borrower for the following services:
• costs of telephone calls, personal visits with the Borrower, certified mail, or other activities that are normally considered a part of a prudent Mortgagee’s servicing activity;"
"Did the Mortgagee not charge the Borrower for preparing and providing evidence of Payoff, Reconveyance, or termination of the Mortgage?
",,"The Mortgagee must not charge the Borrower for the following services:
• preparing and providing evidence of Payoff, Reconveyance, or termination of the Mortgage;
"
Did the Mortgagee not charge the Borrower for  providing information essential to the Payoff?,,"The Mortgagee must not charge the Borrower for the following services:
• providing information essential to the Payoff;"
Did the Mortgagee not charge the Borrower for recording the Payoff of the Mortgage in states where recordation was the responsibility of the Mortgagee?,,"The Mortgagee must not charge the Borrower for the following services:
• recording the Payoff of the Mortgage in states where recordation is the responsibility of the Mortgagee;"
Did the Mortgagee not charge the Borrower for the fees for services performed by attorneys or trustees who were salaried members of the Mortgagee’s staff?,,"The Mortgagee must not charge the Borrower for the following services:
• fees for services performed by attorneys or trustees who are salaried members of the Mortgagee’s staff."
"Did the Mortgagee include in the servicing file, documentation of the amount of any fees and charges paid or payable by the Borrower; and documentation supporting the actual cost of any work performed or out-of-pocket expenses?",,"The Mortgagee must include in the servicing file:
• documentation of the amount of any fees and charges paid or payable by the Borrower; and
• documentation supporting the actual cost of any work performed or out-of-pocket expenses."
"Did the Mortgagee segregate escrow funds, including those funds escrowed at closing, and deposit the funds in a special custodial account?
",,"The Mortgagee must segregate escrow funds, including those funds escrowed at closing, and deposit the funds in a special custodial account characterized by the following:
• with a financial institution whose accounts are insured by the Federal Deposit Insurance Corporation (FDIC) or the National Credit Union Administration (NCUA);
• that does not limit the Mortgagee’s access to funds, require an advance notice of withdrawal, or require the payment of a withdrawal penalty;
• that clearly identifies the type of funds being held in that account; and
• the Mortgagee may maintain a “cushion” that may not be increased beyond what is acceptable under RESPA regulations."
,Was the special custodial account opened with a financial institution whose accounts were insured by the Federal Deposit Insurance Corporation (FDIC) or the National Credit Union Administration (NCUA)?,"The Mortgagee must segregate escrow funds, including those funds escrowed at closing, and deposit the funds in a special custodial account characterized by the following:
• with a financial institution whose accounts are insured by the Federal Deposit Insurance Corporation (FDIC) or the National Credit Union Administration (NCUA);
• that does not limit the Mortgagee’s access to funds, require an advance notice of withdrawal, or require the payment of a withdrawal penalty;
• that clearly identifies the type of funds being held in that account; and
• the Mortgagee may maintain a “cushion” that may not be increased beyond what is acceptable under RESPA regulations."
,"Did  the special custodial account not limit the Mortgagee’s access to funds, require an advance notice of withdrawal, or require the payment of a withdrawal penalty?","The Mortgagee must segregate escrow funds, including those funds escrowed at closing, and deposit the funds in a special custodial account characterized by the following:
• with a financial institution whose accounts are insured by the Federal Deposit Insurance Corporation (FDIC) or the National Credit Union Administration (NCUA);
• that does not limit the Mortgagee’s access to funds, require an advance notice of withdrawal, or require the payment of a withdrawal penalty;
• that clearly identifies the type of funds being held in that account; and
• the Mortgagee may maintain a “cushion” that may not be increased beyond what is acceptable under RESPA regulations."
,Did the special custodial account clearly identified the type of funds being held in that account?,"The Mortgagee must segregate escrow funds, including those funds escrowed at closing, and deposit the funds in a special custodial account characterized by the following:
• with a financial institution whose accounts are insured by the Federal Deposit Insurance Corporation (FDIC) or the National Credit Union Administration (NCUA);
• that does not limit the Mortgagee’s access to funds, require an advance notice of withdrawal, or require the payment of a withdrawal penalty;
• that clearly identifies the type of funds being held in that account; and
• the Mortgagee may maintain a “cushion” that may not be increased beyond what is acceptable under RESPA regulations."
,Did the Mortgagee maintain a “cushion” in the special custodial accounthat may not be increased beyond what was acceptable under RESPA regulations?,"The Mortgagee must segregate escrow funds, including those funds escrowed at closing, and deposit the funds in a special custodial account characterized by the following:
• with a financial institution whose accounts are insured by the Federal Deposit Insurance Corporation (FDIC) or the National Credit Union Administration (NCUA);
• that does not limit the Mortgagee’s access to funds, require an advance notice of withdrawal, or require the payment of a withdrawal penalty;
• that clearly identifies the type of funds being held in that account; and
• the Mortgagee may maintain a “cushion” that may not be increased beyond what is acceptable under RESPA regulations."
Did the Mortgagees utilizing a Trust Clearing Account withdraw the portion that was to be applied to escrows within 48 hours of the deposit? ,,Mortgagees utilizing a Trust Clearing Account must withdraw the portion that is to be applied to escrows within 48 hours of the deposit and must transfer the portion to the escrow account for the Borrower’s Mortgage.
Did the Mortgagees utilizing a Trust Clearing Account transfer the portion to the escrow account for the Borrower’s Mortgage?,,Mortgagees utilizing a Trust Clearing Account must withdraw the portion that is to be applied to escrows within 48 hours of the deposit and must transfer the portion to the escrow account for the Borrower’s Mortgage.
"Did the Mortgagee not commingle escrow funds, even temporarily, with funds used for the Mortgagee’s general operating purposes?",,"Mortgagees are not prohibited from holding escrow funds for all types of Mortgages in a single bank account; however, the Mortgagee must not commingle escrow funds, even temporarily, with funds used for the Mortgagee’s general operating purposes"
"When escrow funds were invested, was the net income derived from the investment passed on to Borrower?",,"if escrow funds are invested, the Mortgagee must pass on to the Borrower the net income derived from the investment"
Were the investments and payments made in compliance with state and federal agency requirements governing the handling and payment of interest earned on borrower’s escrow account?,,The Mortgagee must make investments and payments in compliance with state and federal agency requirements governing the handling and payment of interest earned on a Borrower’s escrow  account.
Was the actual cost of administering the interest-bearing account deducted before passing on to the borrower net earnings from the investment of their funds?,,The Mortgagee may only deduct the actual cost of administering the interest-bearing account before passing on to the Borrower the net earnings from the investment of their funds.
Were Borrower expenses charged for maintaining the interest-bearing escrow account in an amount exceeding the gross interest earned from investing the funds in that account?,,The Mortgagee may not charge the Borrower expenses for maintaining the interest-bearing escrow account in an amount exceeding the gross interest earned from investing the funds in that account.
Was the documentation of holding all escrow funds on deposit retained?,,The Mortgagee must retain documentation of its holding of all escrow funds on deposit.
Was the Escrow analysis performed annually?,,"The Mortgagee must perform analysis, at least annually, of the escrow account to provide for adequate collections to pay escrow bills when due without creating excessive surpluses."
Was the escrow analysis performed no later than the end of the second year of the life of the Mortgage?,,The Mortgagee must begin these analyses no later than the end of the second year of the life of the Mortgage.
"When performing the annual escrow analysis, was any escrow surplus discovered and retained?  ",,"The Mortgagee must retain any escrow surplus discovered when performing the annual escrow account analysis for a Delinquent Mortgage pursuant to the terms of the mortgage documents and federal law and regulation, including RESPA."
"When making payments from escrow accounts, Did the Mortgagee request a bill from the billing agency or a tax monitoring service indicating the property tax amount owed, if a bill was not received within a reasonable amount of time before the payment due date?",,"When making payments from escrow accounts, Mortgagees must:
• request a bill from the billing agency or a tax monitoring service indicating the property tax amount owed, if a bill has not been received within a reasonable amount of time before the payment due date;"
"When making payments from escrow accounts, Did the Mortgagee contact the Borrower, if necessary, to obtain the bill or the information needed to pay such bills if a bill was not received within a reasonable amount of time before the known payment due date?",,"When making payments from escrow accounts, Mortgagees must:
• contact the Borrower, if necessary, to obtain the bill or the information needed to pay such bills if a bill is not received within a reasonable amount of time before the known payment due date;"
"When making payments from escrow accounts, did the Mortgagee send payment directly to the billing agency or the taxing authority, as bills became payable, or as otherwise directed by state or local law?",,"When making payments from escrow accounts, Mortgagees must:
• send payment directly to the billing agency or the taxing authority, as bills become payable, or as otherwise directed by state or local law; "
"When making payments from escrow accounts, did the Mortgagee make timely payments, even if making the payment required advancing corporate funds when the escrow deposits were inadequate to meet these obligations?",,"When making payments from escrow accounts, Mortgagees must:
• make timely payments, even if making the payment requires advancing corporate funds when the escrow deposits are inadequate to meet these obligations."
"If required, did the Mortgagee contract with a tax service organization to manage the payment of taxes?",,The Mortgagee may contract with a tax service organization to manage the payment of taxes.
"If the Mortgagee failed to timely disburse escrow proceeds, did the Mortgagee prohibit from passing on to the Borrower any penalties resulting from the late payments unless the late payment was the result of the Borrower’s error or omission?",,"If the Mortgagee fails to timely disburse escrow proceeds, the Mortgagee is prohibited from passing on to the Borrower any penalties resulting from the late payments unless: 􀁸 the late payment was the result of the Borrower’s error or omission;"
"If the Mortgagee failed to timely disburse escrow proceeds, did the Mortgagee prohibit from passing on to the Borrower any penalties resulting from the late payments unless Mortgagee attempted to obtain the billing information from the Borrower, billing agency, or the taxing authority in sufficient time to enable it to timely make the Disbursement?",,"If the Mortgagee fails to timely disburse escrow proceeds, the Mortgagee is prohibited from passing on to the Borrower any penalties resulting from the late payments unless: 􀁸
Mortgagee attempted to obtain the billing information from the Borrower, billing agency, or the taxing authority in sufficient time to enable it to timely make the Disbursement."
"For renewal with the same policy term, did the Mortgagee immediately begin collecting a monthly amount calculated to make funds available 30 Days before the policy expires?",,"The Mortgagee may collect funds for renewal premiums on long-term policies in the following ways:
• For renewal with the same policy term: the Mortgagee may immediately begin collecting a monthly amount calculated to make funds available 30 Days before the policy expires;"
"For renewal with a one-year term, did the Mortgagee defer collection of monthly escrows until 13 months before the expiration date of the policy then begin monthly collection of 1/12th of the renewal premium for a policy providing similar coverage?",,"The Mortgagee may collect funds for renewal premiums on long-term policies in the following ways:
• For renewal with a one-year term: the Mortgagee may defer collection of monthly escrows until 13 months before the expiration date of the policy then begin monthly collection of 1/12th of the renewal premium for a policy providing similar coverage."
Did the Mortgagee require a Borrower wishing to renew for a longer term to make a lump sum deposit to escrow for the additional amount required to pay the renewal premium with the Mortgagee 30 Days before the expiration date of the present policy?,,The Mortgagee may require a Borrower wishing to renew for a longer term to make a lump sum deposit to escrow for the additional amount required to pay the renewal premium with the Mortgagee 30 Days before the expiration date of the present policy.
"If the additional deposit was not made, did the Mortgagee renew the policy for one year and continue to escrow as for a one-year policy?",,"If the additional deposit is not made, the Mortgagee may renew the policy for one year and continue to escrow as for a one-year policy."
Did the Mortgagee advance corporate funds when the escrow deposits were inadequate to meet obligations for payment of premiums for optional insurance coverage?,,"The Mortgagee may advance corporate funds when the escrow deposits are inadequate to meet obligations for payment of premiums for optional insurance coverage,"
,Did the Mortgagee not charge against the escrow account any funds for these advances?,"The Mortgagee may advance corporate funds when the escrow deposits are inadequate to meet obligations for payment of premiums for optional insurance coverage, but the Mortgagee must not charge against the escrow account any funds for these advances."
"If the Borrower obtained Personal Property and personal liability insurance coverage not directly related to  the Mortgaged Property and the premiums were combined with dwelling insurance in one insurance premium payment, did the escrow include the payment of Personal Property and personal liability insurance coverage premiums?",,"The Mortgagee must only escrow for the payment of Personal Property and personal liability insurance coverage premiums if: 􀁸 the Borrower has obtained Personal Property and personal liability
insurance coverage not directly related to the mortgaged Property; 􀁸 the premiums are combined with dwelling insurance in one insurance premium payment."
Did the Mortgagee not deposit premiums for life or disability insurance coverage in the same bank accounts as other escrow payments?,,Mortgagees may not deposit premiums for life or disability insurance coverage in the same bank accounts as other escrow payments.
Did the Mortgagee maintain separate records for life or disability insurance coverage payments?,,The Mortgagee must maintain separate records for these life or disability insurance coverage payments.
Was the borrower’s discretionary payment made as part of a monthly Mortgage Payment for optional policies noted in the initial and annual escrow statements?,,The Mortgagee must note on the initial and annual escrow statements any Borrower's discretionary payment made as part of a monthly Mortgage Payment for optional policies.
Was the borrower charged any part of the cost of insurance coverage that did not benefit the Borrower?,,The Mortgagee must not charge the Borrower any part of the cost of insurance coverage that does not benefit the Borrower.
Were the escrow funds used for the purpose for which they were collected?,,The Mortgagee must only use escrow funds for the purpose for which they were collected.
"Was any amount deducted from Borrower's escrow account to pay penalties for late payments, attorney's fees incurred in foreclosure actions, inspection fees and mortgage Delinquencies or refunds of overpaid subsidy?
",,The Mortgagee must never deduct amounts from a Borrower’s escrow account to pay the following: penalties for late payments not directly resulting from the Borrower’s error or omission; • attorney’s fees incurred in foreclosure actions that are not completed; • inspection fees; and • Delinquent mortgage or refunds of overpaid subsidy
"If the Mortgagee required the Borrower to purchase Hazard Insurance, did the Mortgagee escrow for premium payments and pay renewal premiums by remitting the renewal premium from available escrow funds; or in case of insufficient escrow funds, advanced corporate funds for the payment of the renewal premium?",,"When the Mortgagee has required the Borrower to purchase Hazard Insurance, the Mortgagee must escrow for premium payments and pay renewal premiums by:
• remitting the renewal premium from available escrow funds; or
• where insufficient escrow funds exist, advancing corporate funds for the payment of the renewal premium."
Did the Mortgagee not insist on more coverage than it was necessary to protect its investment?,,The Mortgagee must not insist on more coverage than is necessary to protect its investment. The Mortgagee must escrow renewal premiums for the entire amount if the Borrower chooses to insure the Property for more than the minimum amount.
Did the Mortgagee escrowed renewal premiums for the entire amount if the Borrower choose to insure the Property for more than the minimum amount?,,The Mortgagee must not insist on more coverage than is necessary to protect its investment. The Mortgagee must escrow renewal premiums for the entire amount if the Borrower chooses to insure the Property for more than the minimum amount.
"Did the Mortgagee assess a reasonable and customary fee, up to the amount listed in Appendix 3.0, for processing the Borrower’s request to change hazard insurance coverage when the existing policy was not expired?",,"Fee for Change in Hazard Insurance Policy : The Mortgagee may assess a reasonable and customary fee, up to the amount listed in Appendix 3.0, for processing the Borrower’s request to change hazard insurance coverage when the existing policy has not yet expired."
"Was the property located within Special Flood Hazard Area? If so, is the insurance is in force?

",,"For Properties located within a Special Flood Hazard Area (SFHA), the Mortgagee must ensure that insurance is in force for the life of the Mortgage or so long as such coverage remains available, unless the area in which the Property is located is no longer designated as an SFHA."
"For Properties located within a Special Flood Hazard Area (SFHA): if due to rezoning, a Property securing an FHA-insured Mortgage becomes located in an SFHA, did the Mortgagee enforce HUD's flood insurance requirements on coverage amounts and maintenance?",,"For Properties located within a Special Flood Hazard Area (SFHA): if due to rezoning, a Property securing an FHA-insured Mortgage becomes located in an SFHA, the Mortgagee must enforce HUD's flood insurance requirements on coverage amounts and maintenance."
Were the necessary steps taken to ensure hazard or flood insurance claims were filed and settled?,,The Mortgagee must take necessary steps to ensure that hazard or flood insurance claims are filed and settled as expeditiously as possible.
"Were all insurance Settlement proceeds received for coverage of Personal property, temporary housing and other transition expenses released to the borrower?",,"The Mortgagee must promptly release to the Borrower all insurance settlement proceeds received for coverage of a Borrower’s Personal Property, temporary housing, and other transition expenses."
Was the disbursement of insurance settlement proceeds withheld to cover an existing arrearage without the written consent of the borrower?,,The Mortgagee may not withhold Disbursement of such proceeds to cover an existing arrearage without the written consent of the Borrower.
Was release of insurance processed as quickly as possible for needed home repairs after approving a Viable Repair Plan?,,The Mortgagee must expedite the release of insurance proceeds for needed home repairs after approving a Viable Repair Plan.
